,name,url,country
0,s1mple,/stats/players/7998/s1mple?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Ukraine
1,ZywOo,/stats/players/11893/zywoo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
2,sh1ro,/stats/players/16920/sh1ro?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
3,degster,/stats/players/17306/degster?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
4,El1an,/stats/players/13281/el1an?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
5,mir,/stats/players/8789/mir?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
6,blameF,/stats/players/15165/blamef?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
7,Ax1Le,/stats/players/16555/ax1le?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
8,device,/stats/players/7592/device?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
9,ropz,/stats/players/11816/ropz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
10,YEKINDAR,/stats/players/13915/yekindar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Latvia
11,lollipop21k,/stats/players/13980/lollipop21k?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
12,Jame,/stats/players/13776/jame?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
13,NiKo,/stats/players/3741/niko?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bosnia and Herzegovina
14,Hobbit,/stats/players/8528/hobbit?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
15,xsepower,/stats/players/12733/xsepower?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
16,FL1T,/stats/players/12732/fl1t?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
17,faveN,/stats/players/14932/faven?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
18,stavn,/stats/players/10994/stavn?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
19,yuurih,/stats/players/12553/yuurih?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
20,valde,/stats/players/9031/valde?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
21,syrsoN,/stats/players/7266/syrson?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
