dpr,kast,impact,adr,kpr,rating
,,,,,
0.61,75.0%,1.40,85.7,0.82,1.30
0.53,76.3%,1.18,77.5,0.75,1.25
0.61,72.4%,1.30,80.8,0.81,1.23
0.60,72.5%,1.28,81.8,0.78,1.23
0.66,72.7%,1.30,85.2,0.79,1.22
0.58,74.6%,1.17,83.0,0.75,1.21
0.62,73.1%,1.23,84.5,0.77,1.21
0.61,71.6%,1.26,79.7,0.76,1.19
,,,,,
0.67,72.3%,1.16,84.1,0.76,1.16
0.69,71.3%,1.27,83.2,0.76,1.16
0.69,69.0%,1.35,83.6,0.74,1.16
0.55,74.0%,1.07,72.3,0.70,1.16
0.68,70.2%,1.24,84.1,0.76,1.16
,,,,,
0.59,70.9%,1.19,72.2,0.72,1.15
0.66,71.4%,1.12,83.6,0.75,1.15
0.64,72.2%,1.11,78.9,0.74,1.13
0.65,72.6%,1.10,80.5,0.72,1.13
0.63,73.2%,1.07,78.6,0.71,1.13
0.63,73.2%,1.10,77.7,0.71,1.13
0.62,72.8%,1.05,78.5,0.70,1.13
0.62,70.0%,1.19,72.8,0.72,1.12
0.65,71.2%,1.16,79.2,0.71,1.12
0.60,73.6%,1.02,76.1,0.69,1.12
0.64,72.5%,1.05,78.0,0.72,1.11
,,,,,
0.68,69.6%,1.17,79.1,0.74,1.11
0.67,69.5%,1.15,79.8,0.72,1.11
0.69,68.2%,1.18,81.3,0.73,1.11
0.66,71.6%,1.11,78.1,0.71,1.11
0.62,70.6%,1.13,72.0,0.70,1.10
0.66,71.8%,1.06,79.1,0.71,1.10
0.71,68.9%,1.20,81.5,0.73,1.10
0.61,71.2%,1.07,72.1,0.68,1.10
,,,,,
0.64,70.7%,1.11,74.9,0.71,1.10
0.67,69.3%,1.13,75.1,0.72,1.09
0.64,69.0%,1.15,70.3,0.71,1.08
0.68,67.9%,1.14,77.8,0.70,1.08
0.66,70.4%,1.13,74.6,0.67,1.08
0.66,70.2%,1.06,76.8,0.69,1.08
0.65,71.0%,1.00,77.6,0.69,1.08
0.63,73.0%,0.99,75.4,0.67,1.07
0.66,70.8%,1.07,76.1,0.69,1.07
0.69,69.0%,1.10,78.0,0.70,1.07
0.64,71.8%,1.04,74.7,0.66,1.07
0.64,69.2%,1.11,72.4,0.67,1.07
0.70,68.2%,1.09,81.1,0.69,1.06
0.65,69.3%,1.10,70.8,0.68,1.06
0.63,72.1%,0.96,73.3,0.65,1.06
0.63,70.2%,1.03,72.6,0.68,1.06
0.68,69.8%,1.09,74.7,0.70,1.06
0.64,68.5%,1.06,71.7,0.69,1.06
0.73,67.7%,1.28,76.5,0.67,1.05
,,,,,
0.64,71.9%,0.97,71.2,0.66,1.05
0.71,68.4%,1.06,79.0,0.70,1.04
,,,,,
0.67,70.1%,1.01,74.1,0.69,1.04
0.64,71.7%,0.96,71.4,0.64,1.04
0.65,72.3%,0.96,73.9,0.64,1.04
0.69,68.5%,1.04,76.6,0.68,1.04
0.68,70.6%,0.98,75.0,0.67,1.04
0.69,68.8%,1.04,76.9,0.66,1.03
0.67,70.7%,1.00,73.6,0.65,1.03
0.67,70.7%,0.98,72.4,0.67,1.03
0.66,71.3%,1.01,73.1,0.62,1.03
0.69,69.4%,1.08,73.1,0.66,1.03
0.70,67.3%,1.06,78.2,0.65,1.02
0.67,70.5%,1.00,71.9,0.63,1.02
0.65,69.5%,0.98,71.8,0.65,1.02
0.66,71.0%,0.93,71.7,0.65,1.02
0.68,67.9%,1.03,73.9,0.66,1.02
0.67,70.1%,0.95,73.5,0.65,1.02
0.62,70.3%,0.96,65.4,0.64,1.02
0.61,72.7%,0.87,68.0,0.61,1.02
0.68,70.2%,1.01,72.9,0.62,1.01
0.69,69.5%,0.96,74.4,0.65,1.01
0.69,69.2%,1.02,71.9,0.65,1.01
0.75,66.4%,1.11,77.1,0.69,1.01
0.66,70.3%,0.93,70.8,0.63,1.01
0.67,70.0%,0.93,74.3,0.64,1.01
0.69,69.0%,0.98,73.2,0.64,1.00
,,,,,
,,,,,
0.67,71.8%,0.91,70.3,0.64,1.00
0.65,69.4%,0.93,72.3,0.61,1.00
0.63,71.2%,0.87,68.2,0.61,1.00
0.70,68.0%,1.05,73.6,0.62,1.00
0.67,69.2%,0.94,71.3,0.64,1.00
0.70,67.2%,1.04,73.3,0.64,1.00
,,,,,
0.65,69.8%,0.92,69.1,0.63,0.99
0.70,70.5%,1.00,69.3,0.62,0.99
0.66,71.7%,0.89,66.6,0.62,0.99
0.70,68.1%,0.99,71.8,0.63,0.98
0.69,68.8%,0.95,70.0,0.65,0.98
0.66,69.4%,0.90,68.9,0.61,0.98
,,,,,
0.67,69.0%,0.94,67.6,0.62,0.98
0.69,68.4%,0.95,69.4,0.63,0.98
0.60,72.9%,0.79,62.7,0.57,0.97
0.66,69.7%,0.89,68.3,0.60,0.97
0.69,68.7%,0.97,70.1,0.60,0.97
,,,,,
0.69,69.4%,0.90,71.3,0.62,0.97
,,,,,
0.66,70.6%,0.89,64.4,0.60,0.96
0.65,69.1%,0.83,66.4,0.59,0.95
0.67,67.3%,0.91,67.7,0.59,0.95
0.68,70.9%,0.85,66.1,0.58,0.95
0.70,67.0%,0.89,67.4,0.60,0.93
0.68,68.4%,0.84,64.1,0.56,0.91
